trial,r1_px,r2_px,d1_px,d2_px,elapsed_ms
0,169.099,169.148,350.197,94.3703,80.7839
1,169.104,169.133,350.201,94.3665,79.9208
2,169.117,168.89,350.201,94.3662,78.5987
3,169.103,169.136,350.187,94.3687,81.6607
4,169.113,169.157,350.198,94.3888,79.0603
5,169.1,169.167,350.192,94.3531,78.5452
6,169.122,169.173,350.189,94.3826,86.4702
7,169.094,169.155,350.2,94.38,86.3706
8,169.098,169.152,350.189,94.3669,83.0165
9,169.114,169.149,350.184,94.3853,80.8598
10,169.079,169.213,350.191,94.382,80.3362
11,169.139,169.229,350.201,94.374,80.2175
12,169.114,169.159,350.185,94.3529,88.4816
13,169.123,169.147,350.202,94.3656,86.0663
14,169.12,169.564,350.195,94.3657,83.5694
15,169.098,169.161,350.188,94.3669,80.2513
16,169.111,169.148,350.182,94.3735,86.3607
17,169.128,169.17,350.192,94.3707,82.4389
18,169.12,169.239,350.194,94.3676,81.1885
19,169.126,169.245,350.199,94.3754,77.62
20,169.11,169.179,350.195,94.3572,80.0556
21,169.149,169.191,350.251,94.376,79.7278
22,169.116,169.17,350.198,94.3667,80.5867
23,169.083,169.231,350.195,94.3613,80.5469
24,169.093,169.16,350.188,94.342,77.5277
25,169.103,169.167,350.179,94.3737,78.6225
26,169.093,169.228,350.191,94.3717,77.9368
27,169.111,169.152,350.185,94.3718,79.8354
28,169.098,169.194,350.18,94.3603,76.7705
29,169.12,168.884,350.206,94.3605,80.9501
